"DB_NAME","DATABASE_ID","COMPATIBILITY_LEVEL","COLLATION_NAME","USER_ACCESS_DESC","RECOVERY_MODEL","RECOVERY_MODEL_DESC","IS_FULLTEXT_ENABLED","IS_BROKER_ENABLED","IS_READ_ONLY","STATE_DESC","CREATE_DATE"
"COGNOS_AUDIT_PROD","5","130","Latin1_General_100_CI_AS","MULTI_USER","1","FULL","True","False","False","ONLINE","2020-08-02 13:38:42.293000"
"COGNOS_CONTENTSTORE_PROD","6","100","Latin1_General_CI_AS","MULTI_USER","1","FULL","True","False","False","ONLINE","2020-08-02 13:40:37.813000"
"MAM_STATS","9","100","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","1","FULL","True","False","False","ONLINE","2020-08-02 13:42:46.423000"
"MAM_STATS_SRC","11","100","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","1","FULL","True","False","False","ONLINE","2020-08-02 13:43:44.687000"
"master","1","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","3","SIMPLE","False","False","False","ONLINE","2003-04-08 09:13:36.390000"
"model","3","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","1","FULL","False","False","False","ONLINE","2003-04-08 09:13:36.390000"
"msdb","4","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","3","SIMPLE","True","True","False","ONLINE","2016-04-30 00:46:38.773000"
"NFB_DW","7","100","Latin1_General_CI_AS","MULTI_USER","2","BULK_LOGGED","True","False","False","ONLINE","2021-10-31 13:29:57.513000"
"NFB_METADATA_REPOSITORY","8","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","1","FULL","True","False","False","ONLINE","2020-08-02 13:30:05.833000"
"NFB_SRC","12","100","Latin1_General_CI_AS","MULTI_USER","2","BULK_LOGGED","True","False","False","ONLINE","2021-10-31 12:57:39.833000"
"NFB_STG","10","100","Latin1_General_CI_AS","MULTI_USER","2","BULK_LOGGED","True","False","False","ONLINE","2021-10-31 13:27:51.197000"
"NFB_TMP","14","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","2","BULK_LOGGED","True","False","False","ONLINE","2022-05-16 15:00:42.407000"
"SSISDB","13","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","1","FULL","True","False","False","ONLINE","2020-08-02 17:13:04.843000"
"tempdb","2","130","SQL_Latin1_General_CP1_CI_AS","MULTI_USER","3","SIMPLE","False","True","False","ONLINE","2022-05-10 09:45:22.077000"
