date,sem_seq,artist,artist_title_name,tag_category_all,main_tag,energy,melody,soul,score,view_count,like_count,has_comment
2017-04-19,46,LP,LP - Lost On You,#pop,#pop,1,1,1,3,21,0,0
2017-04-11,45,Renaud,Renaud - Dés que le vent soufflera,#french_connection,#french_connection,2,0,1,3,21,0,0
2017-04-05,44,William Onyeabo,William Onyeabo - Fantastic Man,#funk,#funk,0,2,1,3,21,0,0
2017-03-29,43,Crystal Fighters,Crystal Fighters - LA Calling,#happy #energy,#happy,2,2,1,5,21,1,0
2017-03-22,42,daughter,daughter - no care,#rock_me,#rock_me,2,1,0,3,20,0,1
2017-03-15,41,peter wolf crier,Peter wolf crier - Hard As Nails,#pogneuse_de_tripes,#pogneuse_de_tripes,2,1,1,4,20,0,0
2017-03-08,40,Tango with lions,Tango with Lions - In a Bar,#sweet_voice,#sweet_voice,1,1,2,4,24,0,0
2017-03-01,39,Joan Baez,"Joan Baez - It's All Over Now, Baby Blue",#a_classic,#a_classic,0,2,2,4,21,1,0
2017-02-22,38,Mano Negra,Mano Negra - Mala Vida,#energy_music,#energy_music,3,2,0,5,22,1,0
2017-02-15,37,Valerie June,Valerie June - Shakedown,#groove,#groove,2,1,1,4,18,0,0
2017-02-08,36,Fever Ray,Fever Ray - If I had a heart,#pogneuse_de_trips,#pogneuse_de_trips,0,3,1,4,21,0,0
2017-02-01,35,Johnny Cash,Johnny Cash - Hurt,#see_inside,#see_inside,0,1,3,4,19,1,1
2017-01-25,34,Lianne La Havas,Lianne La Havas - Green & Gold,#groove #sweet_energy,#groove,2,2,1,5,21,0,0
2017-01-18,33,Little May,Little May - Boardwalks,#relax #sweet_melody,#relax,1,2,1,4,20,0,0
2017-01-11,32,John Lee Hooker & ZZ Top,John Lee Hooker & ZZ Top - Boom boom boom,#rock #blues,#rock,2,1,0,3,21,0,0
2016-12-21,31,The Paper Kites,The Paper Kites - Bloom,#relax,#relax,0,2,1,3,19,0,0
2016-12-14,30,Edward Sharpe And The Magnetic Zeros - free stuff,Edward Sharpe And The Magnetic Zeros - free stuff,#some_energy,#some_energy,1,2,1,4,19,0,0
2016-12-07,29,Julien Clerc / Geneviève Paris,Julien Clerc / Geneviève Paris - Tu dis ça,#french_connection,#french_connection,0,2,3,5,18,0,0
2016-11-30,28,Jesse Malin,Jesse Malin - Edward Hopper ,#relax #happy,#relax,1,1,2,4,19,0,1
2016-11-24,27,Talkin Heades,Talking Heads - This must be the place,#relax,#relax,1,2,1,4,17,0,0
2016-11-16,26,Cowboy Junkies,Cowboy Junkies - Sweet Jane,#slow_music,#slow_music,0,2,1,3,15,1,0
2016-11-09,25,UB40,UB40 - Red Red Wine,#relax #trump_medecine,#relax,1,2,0,3,14,1,0
2016-11-02,24,Alain Basung,Alain Basung - La nuit je mens,#french_connection,#french_connection,1,2,2,5,17,0,1
2016-10-26,23,Feist,Feist - My Moon My Man,#sensual_voice,#sensual_voice,1,2,1,4,17,0,0
2016-10-19,22,Lisa Leblanc,Lisa LeBlanc - Cerveau ramolli,#french_connection,#french_connection,1,2,0,3,13,0,0
2016-10-12,21,Cigarettes after sex,Cigarettes After Sex - Nothing's Gonna Hurt You Baby,#nap_ready,#nap_ready,0,2,0,2,14,0,0
2016-10-05,20,The Lone Bellow,The Lone Bellow - Take My Love,#spread_love,#spread_love,2,2,1,5,15,0,1
2016-09-28,19,soundtrack,Simple Song #3 - Youth Soundtrack,#music_to_elevate #classic ,#music_to_elevate,1,2,2,5,16,0,0
2016-09-21,18,Maggie Rogers,Maggie Rogers - Alaska,#relax,#relax,1,2,1,4,14,0,0
2016-09-14,17,Ane Brun,Ane Brun - Big In Japan,#original_remix,#original_remix,0,2,1,3,16,1,0
